MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.358631929,4.041630584,4.743833748,5.447608008,6.139497181,6.81005814,7.453293232
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.258266591,3.912362019,4.591461334,5.277883907,5.95767707,6.620705301,7.260235299
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.057125904,3.708413928,4.389588086,5.081767039,5.76984057,6.44270815,7.092900635
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.068916027,3.522108747,4.014235683,4.536515273,5.079373933,5.633800106,6.192072281
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.04719062,3.5038994,3.999058512,4.52376828,5.068222662,5.623155869,6.18062871
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.026158135,3.430691813,3.880841124,4.367218083,4.879616698,5.408313377,5.944821336
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.203556357,3.627218725,4.095710157,4.598760127,5.125686013,5.666646159,6.213293683
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.345682991,3.807845085,4.309674699,4.839781728,5.38718797,5.942239653,6.497042678
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.421800845,3.89350958,4.403633061,4.940663616,5.493635395,6.053014426,6.611094672
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.546931762,4.114046212,4.699494354,5.291514358,5.880500108,6.458874282,7.020883815
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.902537172,4.653678606,5.389161938,6.096820529,6.769885422,7.405244304,8.002162404
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.740008485,4.43178396,5.135049092,5.833888343,6.516524883,7.174957241,7.804338007
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.493233588,4.147752446,4.823818308,5.504861131,6.17769344,6.832709294,7.463548203
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.511848668,4.162425823,4.82901917,5.497266822,6.155922315,6.796855959,7.414706712
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,6.86935704,7.45981145,8.011779611,8.532282573,9.025022301,9.491742911,9.933214099
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.446404995,3.995357738,4.577155461,5.177915716,5.785121356,6.388563199,6.980566975
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.011943596,3.424313711,3.879435056,4.369042006,4.883601615,5.413764347,5.951235528
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.195675695,3.634769487,4.115406909,4.628041095,5.162327296,5.708554594,6.258420785
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.133602949,3.590344713,4.086957914,4.612927803,5.157783892,5.71210514,6.268038043
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.264892206,3.732400071,4.238076425,4.771122075,5.320982108,5.878293484,6.435352246
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,5.65640586,6.208616341,6.745185446,7.266415907,7.7716362,8.259606425,8.728925315
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,4.001149775,4.753228501,5.487048138,6.191121624,6.859296627,7.488938585,8.079638943
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.326293924,4.007973633,4.709158033,5.412214808,6.103678826,6.774093811,7.417447386
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.248145835,3.90261856,4.582079686,5.268827833,5.948906825,6.612185605,7.251937966
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.053684263,3.704923187,4.386001754,5.078057627,5.76600192,6.438751483,7.088848752
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.062071819,3.514591443,4.006113589,4.527866182,5.070279475,5.624340661,6.182323261
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.052218441,3.509109492,4.004459432,4.529333393,5.073905261,5.628900789,6.186380212
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,2.9942019,3.398405723,3.84826515,4.334473838,4.84686811,5.375739351,5.912597887
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.181306176,3.606344618,4.076177588,4.580522672,5.108680993,5.650797848,6.19851863
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.343346293,3.804964372,4.306458139,4.83642019,5.383834715,5.939005014,6.493997042
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.435556878,3.909311026,4.421354226,4.960067569,5.5144074,6.074795664,6.633510769
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.55745989,4.124497647,4.709675805,5.301295915,5.889796608,6.467632207,7.029072204
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,4.115896644,4.879268534,5.620143019,6.328181017,6.998157062,7.628175228,8.218429095
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.633974586,4.323692623,5.025799249,5.724204562,6.406966581,7.065941445,7.696165286
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.473445302,4.128256727,4.804559774,5.485770721,6.158702479,6.813756407,7.444581903
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.530435624,4.181139915,4.847510342,5.515264691,6.173204615,6.813228274,7.429990922
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.052580029,7.598431298,8.110739585,8.59645992,9.058806151,9.498925132,9.91701399
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.588599161,4.146286347,4.734137434,5.33834983,5.946660584,6.549186995,7.138590612
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,2.983114898,3.39474856,3.84921588,4.338332486,4.852621163,5.38276353,5.920475679
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.184524766,3.6248397,4.106664668,4.620409597,5.15570179,5.702814971,6.253441102
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.183596364,3.643989178,4.143771083,4.672247688,5.218846148,5.774106906,6.330185543
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,3.27595126,3.740721575,4.243770642,4.774411091,5.322148968,5.877643439,6.433186396
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,5.642108479,6.193811173,6.730531782,7.252313781,7.758304473,8.247143124,8.717351398
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,4.306775875,5.08275373,5.83003724,6.539451228,7.206867753,7.83125773,8.413408417
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.824506321,8.592059534,9.350067259,10.09587198,10.82561776,11.53515107,12.22065988
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.546613847,8.323913261,9.088265304,9.837522134,10.56875058,11.27871329,11.96433321
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.518475827,10.3083469,11.06446626,11.78609606,12.47274807,13.12418167,13.74045413
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.531142588,10.32431196,11.08533766,11.8125752,12.50488168,13.16160608,13.78258557
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.929184836,8.779082652,9.609776903,10.41634528,11.19457326,11.94104912,12.65325078
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.316819549,10.11345448,10.88216345,11.61964197,12.3235249,12.99232999,13.62536262
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.508534589,10.300375,11.07189783,11.81701195,12.5305397,13.208751,13.84942883
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.4215404,11.04503442,11.67259833,12.29692296,12.91039404,13.50641847,14.07994278
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.69786062,11.31168267,11.93189856,12.54994357,13.15744829,13.74740298,14.31455764
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,8.137794063,8.921749138,9.689726736,10.43996919,11.16970172,11.87581434,12.55540222
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.338764165,8.142409683,8.937348712,9.717605884,10.47804764,11.21435182,11.92305645
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.12019553,10.87450003,11.59641995,12.28546141,12.94133929,13.56393187,14.15333246
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.728115362,10.50810334,11.25486911,11.96743896,12.64522453,13.28799141,13.89585848
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,8.152657525,9.002523704,9.831179921,10.63425986,11.40789052,12.14890593,12.85498518
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.381386486,10.18383819,10.95680908,11.69724673,12.40300413,13.07279026,13.7060768
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.340856515,10.08568222,10.79860005,11.48135963,12.13477372,12.75910585,13.3543917
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.09089529,10.77648088,11.45652547,12.1248258,12.77478777,13.40079016,13.99869474
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.6729076,11.29315632,11.91628906,12.5351357,13.14225019,13.73122016,14.29717001
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.782298761,8.548887243,9.305865611,10.05066347,10.77949082,11.48823561,12.17310586
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.352581855,8.131853751,8.898571335,9.650292683,10.38388456,11.09598707,11.78345963
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.380595899,10.17056791,10.92679388,11.64853474,12.33530668,12.98687484,13.60330132
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.488693766,10.28235626,11.04373424,11.77121164,12.46367249,13.12048831,13.74151405
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,7.918583097,8.767992078,9.598160304,10.40421515,11.18197695,11.92805549,12.63993921
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.318261704,10.1152105,10.88433094,11.62227022,12.32662595,12.99588934,13.62934852
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.480566006,10.27087356,11.04123204,11.78549764,12.49844005,13.17628034,13.81675839
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.38408281,11.00852401,11.63656667,12.26108827,12.87459662,13.4705767,14.04402345
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,10.67954137,11.29424197,11.91528073,12.53407183,13.14223232,13.7327464,14.3003641
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,8.063840338,8.847030207,9.614759425,10.36513317,11.09525914,11.80193472,12.4821859
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,6.787013893,7.588787477,8.382207415,9.161235513,9.920698404,10.65624421,11.36438522
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.650193914,10.40309432,11.12381194,11.81184122,12.46688588,13.08881138,13.67769612
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,9.524411731,10.30341411,11.04947757,11.76155035,12.43898989,13.08152397,13.68924448
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,8.084645275,8.934425577,9.762936203,10.56585104,11.33932138,12.08019501,12.78615783
